_id,business_name,business_id,pitch_id,business_founders[0],business_founders[1],business_founders[2],business_founders[3],business_founders[4],Business Attributes.Business Fundamentals.Business Origin Story.Inspiration Source,Business Attributes.Business Fundamentals.Business Origin Story.Development Timeline,Business Attributes.Business Fundamentals.Regulatory Requirements.Compliance Status,Business Attributes.Business Fundamentals.Regulatory Requirements.Specific Compliance,Business Attributes.Business Fundamentals.Regulatory Requirements.Regulatory Bodies,Business Attributes.Business Fundamentals.Market Recognition.Achievements & Awards,Business Attributes.Business Fundamentals.Market Recognition.Public Perception,Business Attributes.Business Fundamentals.Industry Classification.Primary Industry,Business Attributes.Business Fundamentals.Industry Classification.Sub-Industry Examples,Business Attributes.Business Fundamentals.Development Stage,Business Attributes.Business Fundamentals.Business Model.Primary Revenue Model,Business Attributes.Business Fundamentals.Business Model.Target Market Segment,Business Attributes.Financial Metrics.Revenue Brackets (Annual),Business Attributes.Financial Metrics.Profitability Status,Business Attributes.Financial Metrics.Cost Structure Components,Business Attributes.Financial Metrics.Investment Profile.Previous Funding Sources,Business Attributes.Financial Metrics.Investment Profile.Investment Ask,Business Attributes.Financial Metrics.Investment Profile.Equity Offered,Business Attributes.Market Position.Customer Engagement.Feedback Channels,Business Attributes.Market Position.Customer Engagement.Customer Loyalty Programs,Business Attributes.Market Position.Digital Presence.Online Platforms,Business Attributes.Market Position.Digital Presence.Digital Marketing Channels,Business Attributes.Market Position.Market Size Categories,Business Attributes.Market Position.Competition Level,Business Attributes.Market Position.Competitive Position,Business Attributes.Product/Service Attributes.Innovation Level,Business Attributes.Product/Service Attributes.Intellectual Property Status,Business Attributes.Product/Service Attributes.Development Status,Business Attributes.Team Composition.Leadership Experience,Business Attributes.Team Composition.Background,Business Attributes.Team Composition.Team Size,Business Attributes.Team Composition.Expertise Coverage,Business Attributes.Growth & Scalability.Growth Rate,Business Attributes.Growth & Scalability.Scalability Potential,Business Attributes.Growth & Scalability.International Potential,Business Attributes.Impact & Sustainability.Product Lifecycle Impact.Manufacturing Impact,Business Attributes.Impact & Sustainability.Product Lifecycle Impact.End-of-Life Management,Business Attributes.Impact & Sustainability.Community Integration.Local Impact,Business Attributes.Impact & Sustainability.Community Integration.Global Responsibility,Business Attributes.Impact & Sustainability.Environmental Impact,Business Attributes.Impact & Sustainability.Social Impact,Business Attributes.Impact & Sustainability.Sustainability Practices,Business Attributes.Risk Assessment.Operational Risks,Business Attributes.Risk Assessment.Market Risks,Business Attributes.Risk Assessment.Financial Risks,Business Attributes.Exit Strategy.Planned Exit Options,Business Attributes.Exit Strategy.Exit Timeline,Business Attributes.Innovation & Research.Research & Development.R&D Focus Areas,Business Attributes.Innovation & Research.Research & Development.Research Partnerships,Business Attributes.Innovation & Research.Technology Integration.Core Technologies,Business Attributes.Innovation & Research.Technology Integration.Technology Implementation,Business Attributes.Customer Experience.Service Delivery.Service Channels,Business Attributes.Customer Experience.Service Delivery.Customer Journey,Business Attributes.Customer Experience.Personalization Capabilities.Data Collection,Business Attributes.Customer Experience.Personalization Capabilities.Customization Options,Business Attributes.Additional Considerations.Cultural Fit,Business Attributes.Additional Considerations.Marketing Strategy,Business Attributes.Additional Considerations.Customer Relationship,business_founders[0].name,business_founders[1].name,business_founders[2].name,business_founders[3].name,business_founders[0].role,business_founders[1].role,business_founders[2].role,business_founders[3].role,business_founders,business_founders[0].confidence,Business Attributes.Financial Metrics.Revenue Brackets (Annual).Last Year,Business Attributes.Financial Metrics.Revenue Brackets (Annual).This Year
67bb3a7dc16cfda851c689c1,Face,face_skincare_jasmine,not_provided,not_provided,,,,,Market Gap Identification,Planned Launch,Not Yet Started,Industry-Specific Compliance,not_provided,not_provided,Trendsetter,Beauty & Personal Care,not_provided,Revenue Generating,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),"$100,000 - $250,000",Loss-Making but Growing,Marketing & Advertising,Angel Investors,not_provided,Over 40%,not_provided,not_provided,Company Website,Social Media Marketing,not_provided,High Competition (10+ competitors),New Entrant,Moderate Innovation,Trademarks,Production Ready,First-Time Entrepreneurs,Marketing Professionals,Co-Founders (2-3),Marketing/Sales,Moderate Growth (20-50% annual),Moderately Scalable,National Expansion Ready,Sustainable Packaging,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Supply Chain Dependency,Market Acceptance,Capital Requirements,Strategic Acquisition,not_provided,Product Innovation,not_provided,not_provided,not_provided,Online Platform,Usage Period,not_provided,not_provided,Customer-Centric,Content Marketing,Community-Based,,,,,,,,,,,,
67bb3a7dc16cfda851c689c2,Scoffpaper,scoffpaper_1,not_provided,,,,,,Market Gap Identification,Gradual Evolution,Not Yet Started,Industry-Specific Compliance,not_provided,not_provided,Trendsetter,Pets & Animal Care,not_provided,Revenue Generating,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),"$100,000 - $250,000",Early Profitability,Raw Materials & Supplies,Bootstrap Only,not_provided,not_provided,Social Media,not_provided,E-commerce Platform,Social Media Marketing,not_provided,Moderate Competition (4-10 competitors),New Entrant,Moderate Innovation,not_provided,Production Ready,not_provided,not_provided,Solo Founder,Marketing/Sales,Moderate Growth (20-50% annual),Moderately Scalable,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Manufacturing Complexity,Market Acceptance,Capital Requirements,not_provided,not_provided,Product Innovation,not_provided,not_provided,not_provided,Online Platform,Usage Period,not_provided,Product Customization,Customer-Centric,Partnership Marketing,Transaction-Based,Gemma,,,,Founder,,,,,,,
67bb3a7dc16cfda851c689c3,Kerbo Charge,kerbocharge_1,not_provided,Mike Golden,Ben Whitaker,,,,Market Gap Identification,Planned Launch,Not Yet Started,State/Local Compliance,Local Authorities,not_provided,Innovation Pioneer,Technology & Digital,Mobile Applications,Beta Testing/Market Testing,Subscription Services,Business-to-Consumer (B2C),Pre-Revenue,Pre-Profit Stage,not_provided,Bootstrap Only,not_provided,not_provided,User Reviews,not_provided,Mobile App,not_provided,Small Market ($1M-$10M),Emerging Market (New category),Niche Player,Significant Improvement,not_provided,Market Testing,First-Time Entrepreneurs,not_provided,not_provided,not_provided,Pre-Growth,Moderately Scalable,National Expansion Ready,not_provided,not_provided,Infrastructure Development,not_provided,Minimal Environmental Impact,Community Development,not_provided,Infrastructure Requirements,Market Acceptance,Capital Requirements,Strategic Acquisition,Medium-term (3-5 years),Technology Innovation,not_provided,Internet of Things,not_provided,Mobile App,Usage Period,Location Data,Service Personalization,Innovation Focus,Digital Marketing,Community-Based,,,,,,,,,,,,
67bb3a7dc16cfda851c689c4,Original Rescue Swag,not_provided,not_provided,not_provided,,,,,Personal Problem/Need,Gradual Evolution,In Process,Trademark Compliance,International Regulators,Innovation Recognition,not_provided,Consumer Goods & Retail,not_provided,Revenue Generating,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),"$50,000 - $100,000",Early Profitability,Manufacturing & Production,Bootstrap Only,"$250,000 - $500,000",not_provided,not_provided,not_provided,Online Marketplace,not_provided,Small Market ($1M-$10M),Moderate Competition (4-10 competitors),Niche Player,Significant Improvement,Trademarks,Prototype Phase,First-Time Entrepreneurs,Technical Experts,Solo Founder,Industry-Specific,Moderate Growth (20-50% annual),Moderately Scalable,International Expansion Ready,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Supply Chain Dependency,Market Acceptance,Capital Requirements,not_provided,not_provided,Product Innovation,not_provided,not_provided,not_provided,Online Platform,Usage Period,not_provided,not_provided,Innovation Focus,not_provided,not_provided,,,,,,,,,,,,
67bb3a7dc16cfda851c689c5,Be Perfect Cosmetics,beperfect_cosmetics_1,not_provided,,,,,,Market Gap Identification,Gradual Evolution,In Process,Trademark Compliance,International Regulators,not_provided,Trendsetter,Beauty & Personal Care,not_provided,Growth Phase,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),"$100,000 - $250,000",Early Profitability,Raw Materials & Supplies,Bootstrap Only,"$50,000 - $250,000",21-25%,Social Media,not_provided,Company Website,Social Media Marketing,Small Market ($1M-$10M),Moderate Competition (4-10 competitors),Niche Player,Moderate Innovation,Trademarks,Production Ready,First-Time Entrepreneurs,not_provided,Solo Founder,Marketing/Sales,Fast Growth (50-100% annual),Moderately Scalable,Regional Expansion Possible,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Supply Chain Dependency,Market Acceptance,Capital Requirements,not_provided,not_provided,Product Innovation,not_provided,not_provided,not_provided,Online Platform,Awareness Phase,Purchase History,not_provided,Innovation Focus,Digital Marketing,Transaction-Based,Brandon McDowell,,,,Sole Director,,,,,,,
67bb3a7dc16cfda851c689c6,Mama Nagi's,mama_nagi_pitch_1,not_provided,not_provided,,,,,Family Business Evolution,Gradual Evolution,Not Yet Started,State/Local Compliance,not_provided,not_provided,Premium,Food & Beverage,Artisanal & Specialty Foods,Revenue Generating,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),"$100,000 - $250,000",Early Profitability,Raw Materials & Supplies,Bootstrap Only,"Under $50,000",not_provided,Direct Feedback,not_provided,Company Website,not_provided,Small Market ($1M-$10M),Moderate Competition (4-10 competitors),Niche Player,Significant Improvement,not_provided,Production Ready,First-Time Entrepreneurs,Academic Background,Solo Founder,Industry-Specific,Fast Growth (50-100% annual),Moderately Scalable,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Scale-up Challenges,Market Acceptance,Capital Requirements,not_provided,not_provided,Product Innovation,not_provided,not_provided,not_provided,In-Person Service,Awareness Phase,not_provided,not_provided,Quality-Focused,Content Marketing,Transaction-Based,,,,,,,,,,,,
67bb3a7dc16cfda851c689c7,Nia,not_provided,not_provided,not_provided,,,,,Personal Problem/Need,Gradual Evolution,Not Yet Started,not_provided,not_provided,not_provided,Value-Focused,Beauty & Personal Care,not_provided,Revenue Generating,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),"$100,000 - $250,000",Early Profitability,Raw Materials & Supplies,Bootstrap Only,"$50,000 - $250,000",11-15%,Direct Feedback,not_provided,E-commerce Platform,not_provided,Small Market ($1M-$10M),Moderate Competition (4-10 competitors),Niche Player,Significant Improvement,Trade Secrets,Production Ready,First-Time Entrepreneurs,not_provided,Solo Founder,not_provided,Fast Growth (50-100% annual),Moderately Scalable,Regional Expansion Possible,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Supply Chain Dependency,Market Acceptance,Capital Requirements,not_provided,not_provided,Product Innovation,not_provided,not_provided,not_provided,Online Platform,Usage Period,not_provided,not_provided,not_provided,not_provided,not_provided,,,,,,,,,,,,
67bb3a7ec16cfda851c689c8,Youthforia,youthforia_1,not_provided,,,,,,Personal Problem/Need,Opportunity-Driven,not_provided,not_provided,not_provided,not_provided,not_provided,Beauty & Personal Care,not_provided,Revenue Generating,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),$1 million - $5 million,not_provided,Raw Materials & Supplies,Bootstrap Only,"$250,000 - $500,000",5-10%,not_provided,not_provided,E-commerce Platform,not_provided,not_provided,Brutally Competitive,not_provided,Significant Improvement,not_provided,Production Ready,First-Time Entrepreneurs,Corporate Background,Co-Founders (2-3),not_provided,Moderate Growth (20-50% annual),not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Supply Chain Dependency,Market Acceptance,Capital Requirements,not_provided,not_provided,Product Innovation,Industry Partnership,not_provided,not_provided,Online Platform,not_provided,not_provided,not_provided,Innovation Focus,not_provided,not_provided,Fiona,,,,Founder,,,,,,,
67bb3a7ec16cfda851c689c9,The Tipsy Tray,tipsy_tray_1,not_provided,not_provided,,,,,Accidental Discovery,Opportunity-Driven,Not Yet Started,not_provided,not_provided,not_provided,not_provided,Home & Garden,not_provided,Initial Market Launch,Direct Sales (One-time Purchase),Business-to-Consumer (B2C),"$50,000 - $100,000",Pre-Profit Stage,Manufacturing & Production,Bootstrap Only,not_provided,not_provided,not_provided,not_provided,Online Marketplace,not_provided,not_provided,High Competition (10+ competitors),New Entrant,Minor Enhancement,No Protection,Production Ready,First-Time Entrepreneurs,not_provided,Solo Founder,not_provided,not_provided,Moderately Scalable,International Expansion Ready,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Supply Chain Dependency,Competition Level,Capital Requirements,Strategic Acquisition,not_provided,Design Innovation,not_provided,not_provided,not_provided,Online Platform,not_provided,not_provided,not_provided,Innovation Focus,Digital Marketing,Transaction-Based,,,,,,,,,,,,
67bb3a7ec16cfda851c689ca,Higher and Fire Your Kids,pitch_1,not_provided,not_provided,,,,,Market Gap Identification,Gradual Evolution,Not Yet Started,Data Privacy Compliance,not_provided,not_provided,Tech-Forward,Technology & Digital,Mobile Applications,Beta Testing/Market Testing,not_provided,Business-to-Consumer (B2C),Pre-Revenue,Pre-Profit Stage,Technology Infrastructure,Bootstrap Only,not_provided,not_provided,Beta Testing,not_provided,Mobile App,not_provided,not_provided,not_provided,New Entrant,Significant Improvement,not_provided,Beta Testing,First-Time Entrepreneurs,Technical Experts,Solo Founder,Technical/Engineering,Pre-Growth,Highly Scalable,Global Market Potential,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,Technology Risks,Market Acceptance,Capital Requirements,not_provided,not_provided,Technology Innovation,not_provided,not_provided,In-House Development,Mobile App,Beta Testing,not_provided,not_provided,Innovation Focus,Digital Marketing,not_provided,,,,,,,,,,,,
