ID,Category,Question,,
17,Competition,who do you see is your biggestcompetition right now and your greatestthreat,,
18,Competition,the real question is how do you preemptcompetition how do you make this so thatit's an actual company as opposed toturning into a feature from any of thehigh-end,,
19,Competition,is there anything to stop someone else from doing exactly the same thing,,
24,Competition,what why are you winning so,,
27,Competition,has nobody come up with it before,,
45,Competition,guys who else has a similar system?,,
49,Competition,so is this some on the market now theutility no not at the moment we haven'tlaunched it just yet,,
52,Competition,why wouldn't i go buy the land myself and give you a summer job i'll pay you seven bucks an hour i mean really like what do you,,
55,Competition,what's this somebody else copying your idea?,,
58,Competition,and your tax are specific to theattacker that's correct yes so when wesell one of these people have to comeback and buyyour tax of course can you give me agood reason why the german companysitting on thislet it you know weather and burnthey hadn't completed it and didn't havethe money to finish it,,
59,Competition,are there any similar products on themarket,,
68,Competition,why are you going to win in that in an enormous pet food market with huge brands out there that you know could do this in a heartbeat what stop somebody just copying this that's what we've got no proprietary your rights on it just because it's such a simple process,,
72,Competition,can you answer my question how are your prices compared to the competition,,
82,Competition,i like the product but are there bigger solutions that can come in and kind of push this out the door this category will exist,,
83,Competition,have you researched to see if there is an indigenous company like yourselves with a similar story or with a similar unique selling point?,,
84,Competition,are they online this u.s company?,,
86,Competition,who's the biggest gutter manufacturer globally,,
92,Competition,i have a long history with this sort oftechnology yes and it has been aroundfor quite some time and i've rejectedrfid technology alreadyi guess the the issue isit's it's uh come on please it's alreadyout there you know people are doing it?,,
100,Competition,why wouldn't the existing players in the marketplace which are the online places why don't they just do this as a side thing,,
117,Competition,so what stops somebody anybody and says right that's three pounds landed and they want to disrupt the market at 1995.,,
122,Competition,why wouldn't the existing players in the marketplace which is the online player why don't they just do this as a side thing?,,
132,Competition,is there competition in this market?,,
137,Competition,no one's knocked you off yet?,,
138,Competition,if i said to you that the way technology is at the moment and the way it's going what you do everybody will be able to do how would you react to that,,
139,Competition,and how are you guys positioned versus the other aggressive players in the marketplace,,
140,Competition,what's currently on the market that's comparable if you disregard the childproof element,,
149,Competition,who else does this guys as a whole yeah,,
153,Competition,what's your competition?,,
166,Competition,what do you know about that so swell are kind of the brand that we aspire to be,,
167,Competition,what's the price point of your competitive swell?,,
168,Competition,is there nothing similar to this on the more absolutely nothing similar,,
170,Competition,is this and can this be a business or could anybody do this?,,
174,Competition,so talk about competition because i know the mavs use a different type of canister yeah than this,,
175,Competition,so someone else is importing right now into the u s?,,
176,Competition,is thereanything like this availableinternationally?,,
185,Competition,how do these compare price-wise to you know the standby,,
195,Competition,is there any comparable product on the market currently?,,
208,Competition,is there anybody else doing this,,
212,Competition,what would stop somebody else developing a similar product?,,
214,Competition,does anybody else do a fit at manufacturer?,,
218,Competition,so with with the product at the moment is there anybody else sending anything that's comparable to this product online,,
250,Competition,whilst there might not be somebody in the direct space anything that is a protein enhancer that's that's not this is actually competition to you,,
257,Competition,where do i start this market is hugely competitive?,,
275,Competition,i'm going to guess that there's some very large filter players that already dominate this market...,,
291,Competition,so are you the only seller of this formulation?,,
306,Competition,i'm curious as to whether you have other competition.,,
351,Competition,just talk to me a little bit about the competition because this isn't you know this is not exactly new,,
352,Competition,what does the competition cost?,,
354,Competition,is there anything on the market like this?,,
365,Competition,if it works why hasn't it been done before you just that clever you figured out something nobody else could,,
374,Competition,are there competitive products?,,
375,Competition,anybody else make something similar t,,
376,Competition,what do the other guys do,,
377,Competition,because why couldn't i dothat myself,,
380,Competition,cost comparison to the traditional material twice as much half as much what's the comparison?,,
381,Competition,would this be an alternative to that?,,
388,Competition,why are you going to win that race,,
389,Competition,who else is making a similar style product,,
394,Competition,just talk to me about your competitive set and you know how big a market share are you looking for,,
400,Competition,is there anybody else doing this because i've seen them where they actually glue them in?,,
402,Competition,is there anything like that,,
406,Competition,who else does this i mean there are there are other,,
407,Competition,do you know the terms of that franchise as in how much they,,
412,Competition,and and how many do youthink the largest bandages companiesorder at a time like,,
415,Competition,but you've used competition i mean here absolutely so how are you gonna compete with them,,
419,Competition,so how are you going to compete?,,
422,Competition,what's your plan to move into this market when there's such major competition?,,
427,Competition,do you not think that they will have a wider market research team that will have clearly understood the market they've been in it for a long time,,
428,Competition,is that anybody else that does this what you do worldwide that you know of at the moment,,
436,Competition,do you know anything about mine company's involvement in gamification your involvement no no idea i feel it there now,,
437,Competition,is anybody else doing this in the art world at this point in time,,
444,Competition,what your competitionis who else is doing this,,
450,Competition,how many different brands are they're selling the same product,,
451,Competition,what's the difference in price sure,,
460,Competition,is it out there in the market already or is this a new prototype,,
464,Competition,you're kind that this is the only one in the space what allows you to make that claim?,,
472,Competition,and have you done some research into the u s market what's the closest product to this on the consumer side?,,
479,Competition,in the u k is there something similar,,
483,Competition,how do your pricescompare to the other honey makers outthere,,
485,Competition,you want to give someone a four percent return on a mezzanine type loan that's terrible what are the ms lenders getting?,,
487,Competition,okay and how many other companies are doing this?,,
488,Competition,i get that but you mentioned a big player that's doing this already yeah what's their size what do they turn over?,,
489,Competition,why do we not see electric skateboards all around the place or do we and i just don't know?,,
491,Competition,so whilst there might not be somebody in the direct space anything that is a protein enhancer that's that's not this is actually competition to,,
494,Competition,so how are you going to compete,,
497,Competition,well thereare limits to what i can tell youwith this type of product if i was totell you too much about itthen everybody and his dog would bewould be producing this,,
498,Competition,so this would be direct competition,,
499,Competition,you're the largest manufacturer you're the only one left still managing well there's some small guys but we're sort of bigger than small,,
501,Competition,so if i then go online can i buy that ticket more or less anywhere?,,
506,Competition,do you guys know how many people are playing in this space right now no one has a 100 natural cream everything is preserved that's not true you see any cream that's not true,,
507,Competition,even if it works better than anything on the market it's going to be tough it is better for that,,
508,Competition,why are you guys going to win these are everywhere everywhere,,
509,Competition,the property management business is very efficient in the u s i'm stunned that there isn't something like this there already but you you know there isn't anything well we've researched it heavily but i'm curious you've got a lot of the answers so i want to know what gaps you think you need,,
510,Competition,wait a second is this a competitive bid for the guitar,,
513,Competition,are you saying why isn't he comparing this to the ones that already ex the push mes that currently exist in the market,,
516,Competition,there has to be a tonof competition in that space a ton,,
518,Competition,so there areother apps that do this,,
521,Competition,you've picked the one of the mostcompetitive industries in the world,,
522,Competition,what concerns me is how many other small entrepreneurs are they're like you who are doing a very similar product who are out there who will be your competition if you went into asian supermarket,,
524,Competition,how how does that compare,,
525,Competition,what is the mo bestselling product of this type of invention in the marketplace c u that would be critical to me to be able to evaluate whether this is an investment or not,,
527,Competition,why don't i just go buy 70 acres of land somewhere for 250 that has a spring on it,,
528,Competition,now i have to go compete with coca-cola to get water bottles distributed okay where i will be crushed like a cockroach,,
534,Competition,why wouldn't the existing players in the marketplace which are the online players why don't they just do this as a side thing,,
535,Competition,but if if that's what you're after you haven't made it overly attractive for us in terms of your evaluation because what i'm hearing correct me if i'm wrong this isn't unique there are other companies who could slightly tweak the formula in all sort the market lead it what why do you think they aren't exploring this sort of option when clearly it's achievable,,
539,Competition,so nobody else is trying to culture them in the laboratory environment,,
540,Competition,how many tell them software systems early?,,
541,Competition,you mentioned earlier on in your pitchthat you're the firstprivate blood test service that'scorrect sothere are a number of private hospitalsand private clinics yes thatyou know if i want to get blood doneurgentlyi think it's about 280 euros maybe toget your bloods donei just need you to tell me how you'redifferenti,,
